CV_Sentences;Sentences_CV_clean;CV_Number;Sentence_line;Nb_tokens;%texte_lu;%texte_lu_fin_ligne;Is_alpha;Grammar;Tokenization;Verb_count;Propn_count;Noun_count;Num_count;Pourcentage_verb_sentence;Pourcentage_propn_sentence;Pourcentage_noun_sentence;Pourcentage_num_sentence;Label
PERSONNEL Je suis une éducatrice expérimentée et dévouée qui se concentre sur le soutien du développement holistique des étudiants pour leur permettre d'atteindre leur potentiel.;PERSONNEL Je suis une éducatrice expérimentée et dévouée qui se concentre sur le soutien du développement holistique des étudiants pour leur permettre d'atteindre leur potentiel.;CV_2;2;27;11.68;88.32;[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, False];['NOUN', 'PRON', 'AUX', 'DET', 'NOUN', 'VERB', 'CCONJ', 'VERB', 'PRON', 'PRON', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADP', 'PRON', 'VERB', 'ADP', 'VERB', 'DET', 'NOUN', 'PUNCT'];PERSONNEL Je suis une éducatrice expérimentée et dévouée qui se concentre sur le soutien du développement holistique des étudiants pour leur permettre d'atteindre leur potentiel.;5;0;6;0;0.18518518518518517;0.0;0.2222222222222222;0.0;0
LANGUES ET COMPÉTENCES;LANGUES ET COMPÉTENCES;CV_2;3;3;12.71;87.29;[True, True, True];['ADJ', 'CCONJ', 'ADJ'];LANGUES ET COMPÉTENCES;0;0;0;0;0.0;0.0;0.0;0.0;0
• Parle couramment l'anglais, le Hindi et le Tamoul;• Parle couramment l'anglais, le Hindi et le Tamoul;CV_2;4;11;16.49;83.51;[False, True, True, False, True, False, True, True, True, True, True];['ADJ', 'NOUN', 'ADV', 'DET', 'NOUN', 'PUNCT', 'DET', 'PROPN', 'CCONJ', 'DET', 'PROPN'];• Parle couramment l'anglais, le Hindi et le Tamoul;0;2;2;0;0.0;0.18181818181818182;0.18181818181818182;0.0;0
• Très bonne communication à l'oral et à l'écrit • Experte en organisation et gestion de cours RÉALISATIONS;• Très bonne communication à l'oral et à l'écrit • Experte en organisation et gestion de cours RÉALISATIONS;CV_2;5;20;23.37;76.63;[False, True, True, True, True, False, True, True, True, False, True, False, True, True, True, True, True, True, True, True];['PUNCT', 'ADV', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'CCONJ', 'ADP', 'DET', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'ADJ'];• Très bonne communication à l'oral et à l'écrit • Experte en organisation et gestion de cours RÉALISATIONS;0;0;7;0;0.0;0.0;0.35;0.0;0
• Élaboration d'un programme de soutien par les pairs pour les aînés, améliorant le taux d'obtention de diplôme de 10 %;• Élaboration d'un programme de soutien par les pairs pour les aînés, améliorant le taux d'obtention de diplôme de 10 %;CV_2;6;24;31.62;68.38;[False, True, False, True, True, True, True, True, True, True, True, True, True, False, True, True, True, False, True, True, True, True, False, False];['ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NUM', 'NOUN'];• Élaboration d'un programme de soutien par les pairs pour les aînés, améliorant le taux d'obtention de diplôme de 10 %;1;0;9;1;0.041666666666666664;0.0;0.375;0.041666666666666664;0
•;•;CV_2;7;1;31.96;68.04;[False];['ADP'];•;0;0;0;0;0.0;0.0;0.0;0.0;0
Création du programme de préparation au collège pour les étudiants juniors et seniors PARCOURS SCOLAIRE;Création du programme de préparation au collège pour les étudiants juniors et seniors PARCOURS SCOLAIRE;CV_2;8;15;37.11;62.89;[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True];['NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'CCONJ', 'ADJ', 'ADJ', 'NOUN'];Création du programme de préparation au collège pour les étudiants juniors et seniors PARCOURS SCOLAIRE;0;0;6;0;0.0;0.0;0.4;0.0;0
EXPÉRIENCE EN ENSEIGNEMENT;EXPÉRIENCE EN ENSEIGNEMENT;CV_2;9;3;38.14;61.86;[True, True, True];['NOUN', 'ADP', 'NOUN'];EXPÉRIENCE EN ENSEIGNEMENT;0;0;2;0;0.0;0.0;0.6666666666666666;0.0;0
Université de Condorcet Professeure de lycée MASTER EN ÉDUCATION, 2014;Université de Condorcet Professeure de lycée MASTER EN ÉDUCATION, 2014;CV_2;10;11;41.92;58.08;[True, True, True, True, True, True, True, True, True, False, False];['NOUN', 'ADP', 'PROPN', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'PUNCT', 'NUM'];Université de Condorcet Professeure de lycée MASTER EN ÉDUCATION, 2014;0;1;4;1;0.0;0.09090909090909091;0.36363636363636365;0.09090909090909091;0
ÉCOLE SECONDAIRE DE CONDORCET 2014;ÉCOLE SECONDAIRE DE CONDORCET 2014;CV_2;11;5;43.64;56.36;[True, True, True, True, False];['NOUN', 'NOUN', 'ADP', 'NOUN', 'NUM'];ÉCOLE SECONDAIRE DE CONDORCET 2014;0;0;3;1;0.0;0.0;0.6;0.2;0
#NOM?;#NOM?;CV_2;12;3;44.67;55.33;[False, True, True];['PUNCT', 'ADP', 'NOUN'];#NOM?;0;0;1;0;0.0;0.0;0.3333333333333333;0.0;0
•;•;CV_2;13;1;45.02;54.98;[False];['ADP'];•;0;0;0;0;0.0;0.0;0.0;0.0;0
Diplômée avec Mention;Diplômée avec Mention;CV_2;14;3;46.05;53.95;[True, True, True];['NOUN', 'ADP', 'NOUN'];Diplômée avec Mention;0;0;2;0;0.0;0.0;0.6666666666666666;0.0;0
• Candidate à la meilleure thèse;• Candidate à la meilleure thèse;CV_2;15;6;48.11;51.89;[False, True, True, True, True, True];['ADJ', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN'];• Candidate à la meilleure thèse;1;0;1;0;0.16666666666666666;0.0;0.16666666666666666;0.0;0
pour « Stratégies de regroupement étudiant;pour « Stratégies de regroupement étudiant;CV_2;16;6;50.17;49.83;[True, False, True, True, True, True];['ADP', 'PUNCT', 'NOUN', 'ADP', 'NOUN', 'ADJ'];pour « Stratégies de regroupement étudiant;0;0;2;0;0.0;0.0;0.3333333333333333;0.0;0
-;-;CV_2;17;1;50.52;49.48;[False];['PUNCT'];-;0;0;0;0;0.0;0.0;0.0;0.0;0
enseignant;enseignant;CV_2;18;1;50.86;49.14;[True];['NOUN'];enseignant;0;0;1;0;0.0;0.0;1.0;0.0;0
pour la préparation aux études postsecondaires » • Responsable, Programme de préparation au collège, 2018;pour la préparation aux études postsecondaires » • Responsable, Programme de préparation au collège, 2018;CV_2;19;17;56.7;43.3;[True, True, True, True, True, True, False, False, True, False, True, True, True, True, True, False, False];['ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NUM'];pour la préparation aux études postsecondaires » • Responsable, Programme de préparation au collège, 2018;0;0;6;1;0.0;0.0;0.35294117647058826;0.058823529411764705;0
- Présent • Directrice adjointe, Département d'études sociales, 2014;- Présent • Directrice adjointe, Département d'études sociales, 2014;CV_2;20;12;60.82;39.18;[False, True, False, True, True, False, True, False, True, True, False, False];['PUNCT', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT', 'NUM'];- Présent • Directrice adjointe, Département d'études sociales, 2014;0;0;4;1;0.0;0.0;0.3333333333333333;0.08333333333333333;0
- Aujourd'hui • Conseillère, Club Oratoire, 2014;- Aujourd'hui • Conseillère, Club Oratoire, 2014;CV_2;21;9;63.92;36.08;[False, False, False, True, False, True, True, False, False];['PUNCT', 'ADV', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'ADJ', 'PUNCT', 'NUM'];- Aujourd'hui • Conseillère, Club Oratoire, 2014;0;0;2;1;0.0;0.0;0.2222222222222222;0.1111111111111111;0
-;-;CV_2;22;1;64.26;35.74;[False];['PUNCT'];-;0;0;0;0;0.0;0.0;0.0;0.0;0
2016;2016;CV_2;23;1;64.6;35.4;[False];['NUM'];2016;0;0;0;1;0.0;0.0;0.0;1.0;0
Institut de Condorcet Professeure de lycée INSTITUT DE CONDORCET 2012;Institut de Condorcet Professeure de lycée INSTITUT DE CONDORCET 2012;CV_2;24;10;68.04;31.96;[True, True, True, True, True, True, True, True, True, False];['PROPN', 'ADP', 'PROPN', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'NUM'];Institut de Condorcet Professeure de lycée INSTITUT DE CONDORCET 2012;0;2;3;1;0.0;0.2;0.3;0.1;0
-2014;-2014;CV_2;25;2;68.73;31.27;[False, False];['PUNCT', 'NOUN'];-2014;0;0;1;0;0.0;0.0;0.5;0.0;0
LICENCE EN ÉDUCATION, 2011 • Diplômée avec une moyenne générale de 18/20;LICENCE EN ÉDUCATION, 2011 • Diplômée avec une moyenne générale de 18/20;CV_2;26;13;73.2;26.8;[True, True, True, False, False, False, True, True, True, True, True, True, False];['NOUN', 'ADP', 'NOUN', 'PUNCT', 'NUM', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'ADP', 'SPACE'];LICENCE EN ÉDUCATION, 2011 • Diplômée avec une moyenne générale de 18/20;0;0;4;1;0.0;0.0;0.3076923076923077;0.07692307692307693;0
"• Thèse : ""Étude de l'apprentissage en ligne"" •";"• Thèse : ""Étude de l'apprentissage en ligne"" •";CV_2;27;12;77.32;22.68;[False, True, False, False, True, True, False, True, True, True, False, False];['ADJ', 'NOUN', 'PUNCT', 'PUNCT', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'ADP'];"• Thèse : ""Étude de l'apprentissage en ligne"" •";0;0;4;0;0.0;0.0;0.3333333333333333;0.0;0
Tutrice et cours particuliers • Professeure de sciences sociales, 2012;Tutrice et cours particuliers • Professeure de sciences sociales, 2012;CV_2;28;11;81.1;18.9;[True, True, True, True, False, True, True, True, True, False, False];['NOUN', 'CCONJ', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT', 'NUM'];Tutrice et cours particuliers • Professeure de sciences sociales, 2012;0;0;4;1;0.0;0.0;0.36363636363636365;0.09090909090909091;0
- 2014 • Professeur, Anglais et littérature;- 2014 • Professeur, Anglais et littérature;CV_2;29;8;83.85;16.15;[False, False, False, True, False, True, True, True];['PUNCT', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'PROPN', 'CCONJ', 'NOUN'];- 2014 • Professeur, Anglais et littérature;0;1;3;0;0.0;0.125;0.375;0.0;0
,;,;CV_2;30;1;84.19;15.81;[False];['PUNCT'];,;0;0;0;0;0.0;0.0;0.0;0.0;0
2012;2012;CV_2;31;1;84.54;15.46;[False];['NUM'];2012;0;0;0;1;0.0;0.0;0.0;1.0;0
- 2013 • Tutrice, Association des sciences sociales, 2012;- 2013 • Tutrice, Association des sciences sociales, 2012;CV_2;32;11;88.32;11.68;[False, False, False, True, False, True, True, True, True, False, False];['PUNCT', 'NOUN', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT', 'NUM'];- 2013 • Tutrice, Association des sciences sociales, 2012;0;0;4;1;0.0;0.0;0.36363636363636365;0.09090909090909091;0
-2013;-2013;CV_2;33;2;89.0;11.0;[False, False];['PUNCT', 'NOUN'];-2013;0;0;0;0;0.0;0.0;0.0;0.0;0
INFORMATIONS DE CONTACT 10;INFORMATIONS DE CONTACT 10;CV_2;34;4;90.38;9.62;[True, True, True, False];['NOUN', 'ADP', 'NOUN', 'NUM'];INFORMATIONS DE CONTACT 10;0;0;2;1;0.0;0.0;0.5;0.25;0
, rue d'Alésia 75014 Paris, France E-mail :;, rue d'Alésia 75014 Paris, France E-mail :;CV_2;35;10;93.81;6.19;[False, True, False, True, False, True, False, True, False, False];['PUNCT', 'NOUN', 'ADP', 'PROPN', 'NUM', 'PROPN', 'PUNCT', 'PROPN', 'NOUN', 'PUNCT'];, rue d'Alésia 75014 Paris, France E-mail :;0;3;2;1;0.0;0.3;0.2;0.1;0
bonjour@sitevraimentsuper.fr;bonjour@sitevraimentsuper.fr;CV_2;36;1;94.16;5.84;[False];['NOUN'];bonjour@sitevraimentsuper.fr;0;0;1;0;0.0;0.0;1.0;0.0;0
Téléphone Fixe :;Téléphone Fixe :;CV_2;37;3;95.19;4.81;[True, True, False];['PRON', 'VERB', 'PUNCT'];Téléphone Fixe :;1;0;0;0;0.3333333333333333;0.0;0.0;0.0;0
01 45 66 77 89;01 45 66 77 89;CV_2;38;5;96.91;3.09;[False, False, False, False, False];['NOUN', 'DET', 'DET', 'DET', 'NUM'];01 45 66 77 89;0;0;1;1;0.0;0.0;0.2;0.2;0
Téléphone Professionnel;Téléphone Professionnel;CV_2;39;2;97.59;2.41;[True, True];['NOUN', 'ADJ'];Téléphone Professionnel;0;0;1;0;0.0;0.0;0.5;0.0;0
:;:;CV_2;40;1;97.94;2.06;[False];['PUNCT'];:;0;0;0;0;0.0;0.0;0.0;0.0;0
01 45 66 77 88 m;01 45 66 77 88 m;CV_2;41;6;100.0;0.0;[False, False, False, False, False, True];['NOUN', 'DET', 'DET', 'DET', 'NUM', 'NOUN'];01 45 66 77 88 m;0;0;2;1;0.0;0.0;0.3333333333333333;0.16666666666666666;0
Samira Hadid  16 place Urbain II,;Samira Hadid  16 place Urbain II,;CV_3;0;8;2.54;97.46;[True, True, False, False, True, True, True, False];['PROPN', 'PROPN', 'SPACE', 'NUM', 'NOUN', 'PROPN', 'NUM', 'PUNCT'];Samira Hadid  16 place Urbain II,;0;3;1;2;0.0;0.375;0.125;0.25;0
63000 Clermont;63000 Clermont;CV_3;1;2;3.17;96.83;[False, True];['NUM', 'PROPN'];63000 Clermont;0;1;0;1;0.0;0.5;0.0;0.5;0
-;-;CV_3;2;1;3.49;96.51;[False];['PUNCT'];-;0;0;0;0;0.0;0.0;0.0;0.0;0
Ferrand;Ferrand;CV_3;3;1;3.81;96.19;[True];['PROPN'];Ferrand;0;1;0;0;0.0;1.0;0.0;0.0;0
,;,;CV_3;4;1;4.13;95.87;[False];['PUNCT'];,;0;0;0;0;0.0;0.0;0.0;0.0;0
4;4;CV_3;5;1;4.44;95.56;[False];['NOUN'];4;0;0;0;1;0.0;0.0;0.0;1.0;0
-73;-73;CV_3;6;2;5.08;94.92;[False];['PROPN'];-73;0;1;0;0;0.0;0.5;0.0;0.0;0
-25;-25;CV_3;7;2;5.71;94.29;[False];['SPACE'];-25;0;0;0;0;0.0;0.0;0.0;0.0;0
-;-;CV_3;8;1;6.03;93.97;[False];['PUNCT'];-;0;0;0;0;0.0;0.0;0.0;0.0;0
68;68;CV_3;9;1;6.35;93.65;[False];['NUM'];68;0;0;0;1;0.0;0.0;0.0;1.0;0
-;-;CV_3;10;1;6.67;93.33;[False];['PUNCT'];-;0;0;0;0;0.0;0.0;0.0;0.0;0
89;89;CV_3;11;1;6.98;93.02;[False];['NUM'];89;0;0;0;1;0.0;0.0;0.0;1.0;0
bonjour@canvasupersite.fr www.canvasupersite.fr;bonjour@canvasupersite.fr www.canvasupersite.fr;CV_3;12;2;7.62;92.38;[False, False];['NOUN', 'PROPN'];bonjour@canvasupersite.fr www.canvasupersite.fr;0;1;1;0;0.0;0.5;0.5;0.0;0
@canvasupersite.fr;@canvasupersite.fr;CV_3;13;1;7.94;92.06;[False];['PROPN'];@canvasupersite.fr;0;1;0;0;0.0;1.0;0.0;0.0;0
Directrice marketing;Directrice marketing;CV_3;14;2;8.57;91.43;[True, True];['NOUN', 'PROPN'];Directrice marketing;0;1;1;0;0.0;0.5;0.5;0.0;0
